clade,svl_max,head_length,head_width,head_depth,radius,humerus,tibia,femur,axilla_to_groin,eye_to_ear,eye_to_snout,front_digit,rear_digit
east,1.831869774,1.247533742,1.046743277,0.84324829,1.004474045,0.91816203,1.066835054,1.018865905,1.475610263,0.607323775,0.85055462,0.658134915,0.744685863
east,1.744292983,1.265227721,1.088757547,0.839902087,1.006078548,0.889702034,1.065759678,0.988136047,1.499427026,0.710544917,0.859019071,0.717904516,0.771197038
east,1.721810615,1.238115386,1.051105282,0.827420893,0.974661951,0.905524336,1.052306009,1.012907836,1.48869194,0.560525899,0.851741614,0.673905941,0.715715045
east,1.806179974,1.263322127,1.04947586,0.856955056,1.002165648,0.876991302,1.067577625,1.029393047,1.483541947,0.626086135,0.873805827,0.604809162,0.749910672
east,1.831869774,1.262025983,1.062068814,0.855534235,1.008751347,0.912886607,1.066835054,1.001905708,1.502369835,0.638367061,0.885841873,0.703402669,0.782115798
east,1.843232778,1.272804137,1.05793205,0.849713498,1.019172327,0.934371343,1.099595364,1.035073018,1.441561469,0.593299713,0.892571814,0.665091398,0.742857393
east,1.785329835,1.247263133,1.034317953,0.858507825,1.028177783,0.913378517,1.084952064,1.049413301,1.510151796,0.617204462,0.867952328,0.693397369,0.772895088
east,1.820201459,1.241115481,1.014760948,0.836685379,0.984786188,0.932856089,1.014931992,0.984386076,1.500375365,0.577196343,0.84313516,0.679228431,0.714192377
east,1.804820679,1.237686874,1.058464943,0.870138275,1.003374913,0.863558589,1.065034852,1.058193717,1.50435863,0.573082811,0.857232524,0.627310324,0.787882591
east,1.811575006,1.26578248,1.05953145,0.881206237,1.001642879,0.908547755,1.095394433,1.066907554,1.454343611,0.609631262,0.863226605,0.783129593,0.80396483
east,1.850033258,1.282672684,1.076929352,0.916735039,1.064354066,1.003650529,1.103895001,1.084790518,1.499953764,0.727663384,0.880734663,0.719950065,0.744786529
east,1.822168079,1.234245555,1.067969202,0.8593264,0.996236654,0.871380321,1.071959716,1.049077682,1.495651642,0.677240669,0.865604064,0.649015347,0.744903321
east,1.803457116,1.224653525,1.032433365,0.834877065,1.013091634,0.84661678,1.073616125,1.019844472,1.490473539,0.658594591,0.86441228,0.618415745,0.685711766
east,1.8162413,1.261728307,1.023204998,0.847008579,0.974963782,0.899230189,1.050966383,1.006372926,1.479069636,0.625344728,0.888090145,0.614894623,0.749695706
east,1.826074803,1.271897304,1.07155222,0.855396717,0.979077066,0.943248366,1.07579262,1.060524828,1.506815598,0.663993129,0.862040037,0.69148373,0.717395224
east,1.819543936,1.253996193,1.031929805,1.08194352,1.019936941,0.943386587,1.077938009,1.059324403,1.49132782,0.63190792,0.856029443,0.706276736,0.777079668
east,1.820201459,1.260612746,1.035258606,0.810616141,1.002414636,0.890283441,1.05498824,1.051031375,1.501745375,0.553571058,0.884706656,0.631220995,0.761804719
east,1.841984805,1.266947411,1.023720226,0.844881265,1.024459845,0.887507137,1.093748085,1.055941693,1.490469986,0.56043487,0.859052247,0.675672061,0.759319414
east,1.85672889,1.267241533,1.043318355,0.828395227,0.984216699,0.843316155,1.038533098,0.980952714,1.510509207,0.575520432,0.862647827,0.687543143,0.761998249
east,1.845718018,1.249041218,1.011073175,0.847038938,0.977508845,0.866663332,1.033984133,0.985596379,1.508551852,0.57881491,0.861450248,0.612430969,0.672492775
